member_id,unit_id,cluster,cluster_size,cluster_fraction,two_cluster_separation_ratio,center_statistic,dispersion_statistic,validity_tag
2864601_0.371,2864601_0.371:u015,1,1,0.0625,7.011996835408555,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u016,0,15,0.9375,1.3409577492828468,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u016,1,1,0.0625,1.3409577492828468,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u017,0,14,0.875,0.9515950461777989,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u017,1,2,0.125,0.9515950461777989,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u018,0,15,0.9375,4.5749146871723285,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u018,1,1,0.0625,4.5749146871723285,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u019,0,15,0.9375,168.27886268470863,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u019,1,1,0.0625,168.27886268470863,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u020,0,1,0.0625,128.7013375462669,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u020,1,15,0.9375,128.7013375462669,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u021,0,15,0.9375,49.57191263478655,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u021,1,1,0.0625,49.57191263478655,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
