regime,drive,concept,bin_index,member_count,median_slope,minimum_slope,maximum_slope,member_sign_agreement,source,validity_tag
stable_or_near_floor,a_over_LT,cross_channel_colocation,2,3,0.17516192936927152,0.15496919862631164,0.1934299654176898,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,f_stab,0,3,0.050878470113211234,0.046406194028584244,0.08217370985400146,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,f_stab,1,3,-0.004256539146533287,-0.04268863851404245,0.03184800489033075,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,f_stab,2,3,-0.027120127627572117,-0.03595856463479348,-0.022784958970743473,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,geodesic_curvature,0,3,0.08022388424388968,-0.0898363947268267,0.22357198794710587,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,geodesic_curvature,1,3,0.45010723212135045,0.1935630120615448,0.6166826806666406,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,geodesic_curvature,2,3,0.4802359678897449,0.42448476671345103,0.5491435994569229,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,log_FSA_grad_x,0,3,0.02127621847267679,0.008305492477440604,0.07143337268592934,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,log_FSA_grad_x,1,3,0.02027480561686475,-0.049551774759666836,0.06562263089019905,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,log_FSA_grad_x,2,3,-0.11415084744179536,-0.14584447938439832,-0.10571556659724475,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,log_compression,0,3,0.03625528931709044,0.006504089780391204,0.036556269990479014,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,log_compression,1,3,0.001623819839693321,-0.0069526322548603935,0.003186367684839839,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,log_compression,2,3,-0.0264652288913434,-0.0361693683889281,-0.02612863719410579,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,log_f_Q,0,3,0.032386569053870815,0.020438431552466576,0.046951441275028774,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,log_f_Q,1,3,0.004549061615603636,-0.012423210747542743,0.014625818754418436,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,log_f_Q,2,3,-0.0176218181742413,-0.025007402971616008,-0.016267593012879812,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,parallel_scale,0,3,0.02530326753095119,0.013039146232388556,0.11119968711417558,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,parallel_scale,1,3,0.11698315614668453,0.01985798131306675,0.12414186029827291,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,parallel_scale,2,3,0.12817796198977532,0.1261957544769609,0.1646943750454183,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,bad_curvature,0,3,1.3715358235610942,1.0945066257904952,1.381136701582644,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,bad_curvature,1,3,-0.03699227065080451,-0.19852910316283912,0.5750954508451371,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,bad_curvature,2,3,0.10899521200643458,0.012367554567525835,0.11102948303852686,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,cross_channel_colocation,0,3,0.45539966548967503,0.37705185744642933,0.5226634465988496,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,cross_channel_colocation,1,3,0.007688898951602056,-0.1462409084611156,0.17536830748921176,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,cross_channel_colocation,2,3,0.02894318894556749,0.00575267766342675,0.03038118097448208,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,f_stab,0,3,0.0862348649602225,0.07325041504745758,0.10617141354130417,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,f_stab,1,3,-0.1183494375581697,-0.17375462251794987,-0.08400960555004879,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,f_stab,2,3,0.001103969241717988,-0.0032992852735172634,0.014306411393629955,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,geodesic_curvature,0,3,1.5887749775955717,1.2637944439957003,1.6875177586566539,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,geodesic_curvature,1,3,-0.4188687120322317,-0.5898620650813765,-0.12819814138742502,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,geodesic_curvature,2,3,0.2643424593736563,0.07324328979787625,0.29363853685175256,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,log_FSA_grad_x,0,3,0.03947145330490347,0.0282365620732704,0.06932495446342167,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,log_FSA_grad_x,1,3,-0.22271503692295896,-0.290345908243191,-0.21689644285952545,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,log_FSA_grad_x,2,3,0.040624595353708,0.022588531373832807,0.04965281708087251,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,log_compression,0,3,0.056433619798838035,0.021383813120382317,0.0624230462357481,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,log_compression,1,3,-0.03212860699706975,-0.03794235797754668,-0.03186977605885712,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,log_compression,2,3,0.010547794136781318,0.003986057926873375,0.011917555612247284,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,log_f_Q,0,3,0.05155229938987674,0.03542517336065664,0.055673880305679296,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,log_f_Q,1,3,-0.050812682977513575,-0.07061575770396751,-0.047222754922053876,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,log_f_Q,2,3,0.006161107606027071,0.0021071696109582717,0.007401095969129703,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,parallel_scale,0,3,0.5427127245489212,0.4676107364296335,0.5649324244962033,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,parallel_scale,1,3,-0.05182692708034011,-0.06370543011506707,0.024164691800862385,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_Ln,parallel_scale,2,3,0.10393630043698467,0.04375338003550287,0.10985092953735444,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,bad_curvature,0,3,-1.9743170097914648,-2.0755242084716112,-1.8097643811027908,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,bad_curvature,1,3,-0.3103199232865474,-0.31906804308443754,-0.14391996432641296,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,bad_curvature,2,3,0.3553477829141574,0.3294698873239414,0.3616946118139574,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,cross_channel_colocation,0,3,1.137837706585023,0.9394888486042575,1.1436822914977314,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,cross_channel_colocation,1,3,0.5742951508430089,0.557991762437283,0.578747546518727,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,cross_channel_colocation,2,3,0.244208632883661,0.2310293076516152,0.25135563941951966,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,f_stab,0,3,1.2345506146997836,1.1047856575235382,1.2407703058742945,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,f_stab,1,3,1.5788463713356768,1.5559485982318961,1.6235970061292535,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,f_stab,2,3,2.3735024104008695,2.3519269912234626,2.387782853548096,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,geodesic_curvature,0,3,-0.3777317415832116,-0.4366670834569866,-0.30859838895234865,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,geodesic_curvature,1,3,1.696436599453845,1.6889199491702858,1.7753567273963007,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,geodesic_curvature,2,3,3.4769087602645583,3.2608502824345766,3.536254221922324,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,log_FSA_grad_x,0,3,1.6099159130526368,1.441231917948268,1.6168553547295448,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,log_FSA_grad_x,1,3,2.5311900779796184,2.441529062672827,2.5890993740699533,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,log_FSA_grad_x,2,3,3.5897514156279695,3.587576766705233,3.6406970041928437,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,log_compression,0,3,0.3434232488818648,0.3294663955659196,0.35268326598557387,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,log_compression,1,3,0.3285346518930062,0.3277686678391646,0.3306365667895626,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,log_compression,2,3,0.48099455337863506,0.4730024535165895,0.4825307576991187,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,log_f_Q,0,3,0.7946124065394892,0.7250255568213914,0.7954928925687729,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,log_f_Q,1,3,0.8222945968049786,0.8189113936011385,0.8350904985334022,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,log_f_Q,2,3,0.9357227152578508,0.9316715458852037,0.9421379426856892,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,parallel_scale,0,3,-0.30442482607405974,-0.3764212895373757,-0.30034449393813223,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,parallel_scale,1,3,-0.22511723602513892,-0.23517909103911966,-0.20084361455615304,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_LT,parallel_scale,2,3,0.2790526166739005,0.25355508654153436,0.2958811380174376,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,bad_curvature,0,3,1.2182858160914842,1.150235448643477,1.358512677402991,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,bad_curvature,1,3,1.3177404850503267,1.3147694761111328,1.3666344319518704,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,bad_curvature,2,3,0.9071584529495619,0.8291835419387561,0.9124416549970727,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,cross_channel_colocation,0,3,0.6015883588647207,0.6009950675505774,0.6373703551457958,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,cross_channel_colocation,1,3,1.556565411874246,1.5202232513267353,1.5860834388365574,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,cross_channel_colocation,2,3,0.36047533544969296,0.33343753630083023,0.3647779002878073,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,f_stab,0,3,1.1045294113167907,1.0313372468766893,1.1141510982179341,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,f_stab,1,3,1.4253815715826381,1.408969442623983,1.466214048590068,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,f_stab,2,3,1.3215949883412996,1.2533346007534711,1.340336370549589,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,geodesic_curvature,0,3,1.770864963263054,1.583350224416805,1.9839991625026536,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,geodesic_curvature,1,3,0.20555370100728473,0.05361194761209372,0.40936600968688214,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,geodesic_curvature,2,3,4.534947457289942,4.132549224525656,4.564580625003657,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,log_FSA_grad_x,0,3,1.4711139908796615,1.3396042719238872,1.4999860637885005,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,log_FSA_grad_x,1,3,1.813408765365924,1.7191680443180128,1.8215996754488002,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,log_FSA_grad_x,2,3,1.6217588139458676,1.5239965034688305,1.6504514982212093,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,log_compression,0,3,0.2932721176803652,0.26778530406707896,0.2988187412795165,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,log_compression,1,3,0.3698207131180888,0.3688023072444149,0.37432019262430416,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,log_compression,2,3,0.21734872329242005,0.21669897601416535,0.21846734582908733,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,log_f_Q,0,3,0.5725729390306002,0.5440648419345195,0.5841855254345392,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,log_f_Q,1,3,0.7084065826709668,0.6979296211717257,0.7205544758751686,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,log_f_Q,2,3,0.5597180422210795,0.5358878479052372,0.5654669727604987,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,parallel_scale,0,3,0.5042586251519267,0.45898377902004295,0.5195030189983202,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,parallel_scale,1,3,0.4359244873825891,0.43111902656094037,0.45712901799635036,1.0,varied-gradient panel only,observed-comparison
unstable,a_over_Ln,parallel_scale,2,3,0.5558307537470228,0.5220930420450169,0.5815947575810099,1.0,varied-gradient panel only,observed-comparison
