member_id,stored_validation_rank,stored_validation_r2,block,kernel_size,output_stride,formal_span,left_extent,right_extent,center_offset,unique_periodic_positions,wraps,globally_connected
2864601_0.242,40,0.9856655399090926,1,13,2,14,6,7,0.5,14,False,False
2864601_0.242,40,0.9856655399090926,2,2,4,18,6,11,2.5,18,False,False
2864601_0.242,40,0.9856655399090926,3,10,8,58,22,35,6.5,58,False,False
2864601_0.242,40,0.9856655399090926,4,3,16,82,30,51,10.5,82,False,False
2864601_0.242,40,0.9856655399090926,5,12,32,274,110,163,26.5,96,True,True
2864601_0.490,41,0.9856578635421721,1,3,2,4,1,2,0.5,4,False,False
2864601_0.490,41,0.9856578635421721,2,11,4,26,11,14,1.5,26,False,False
2864601_0.490,41,0.9856578635421721,3,16,8,90,39,50,5.5,90,False,False
2864601_0.490,41,0.9856578635421721,4,15,16,210,95,114,9.5,96,True,True
2864601_0.490,41,0.9856578635421721,5,7,32,322,143,178,17.5,96,True,True
2864601_0.263,42,0.9856554305268338,1,4,2,5,1,3,1.0,5,False,False
2864601_0.263,42,0.9856554305268338,2,3,4,11,3,7,2.0,11,False,False
2864601_0.263,42,0.9856554305268338,3,3,8,23,7,15,4.0,23,False,False
2864601_0.263,42,0.9856554305268338,4,11,16,111,47,63,8.0,96,True,True
2864601_0.263,42,0.9856554305268338,5,12,32,303,127,175,24.0,96,True,True
2864601_0.211,43,0.9856504196671207,1,7,2,8,3,4,0.5,8,False,False
2864601_0.211,43,0.9856504196671207,2,4,4,16,5,10,2.5,16,False,False
2864601_0.211,43,0.9856504196671207,3,2,8,24,5,18,6.5,24,False,False
2864601_0.211,43,0.9856504196671207,4,13,16,128,53,74,10.5,96,True,True
2864601_0.211,43,0.9856504196671207,5,4,32,192,69,122,26.5,96,True,True
2864601_0.292,44,0.9856355894813268,1,4,2,5,1,3,1.0,5,False,False
2864601_0.292,44,0.9856355894813268,2,2,4,9,1,7,3.0,9,False,False
2864601_0.292,44,0.9856355894813268,3,7,8,37,13,23,5.0,37,False,False
2864601_0.292,44,0.9856355894813268,4,11,16,125,53,71,9.0,96,True,True
2864601_0.292,44,0.9856355894813268,5,10,32,285,117,167,25.0,96,True,True
2864601_0.276,45,0.985616608490206,1,7,2,8,3,4,0.5,8,False,False
2864601_0.276,45,0.985616608490206,2,5,4,18,7,10,1.5,18,False,False
2864601_0.276,45,0.985616608490206,3,8,8,50,19,30,5.5,50,False,False
2864601_0.276,45,0.985616608490206,4,8,16,114,43,70,13.5,96,True,True
2864601_0.276,45,0.985616608490206,5,13,32,322,139,182,21.5,96,True,True
2864601_0.427,46,0.9856069319680308,1,12,2,13,5,7,1.0,13,False,False
2864601_0.427,46,0.9856069319680308,2,2,4,17,5,11,3.0,17,False,False
2864601_0.427,46,0.9856069319680308,3,2,8,25,5,19,7.0,25,False,False
2864601_0.427,46,0.9856069319680308,4,12,16,121,45,75,15.0,96,True,True
2864601_0.427,46,0.9856069319680308,5,4,32,185,61,123,31.0,96,True,True
2864601_0.461,47,0.9855963883004945,1,15,2,16,7,8,0.5,16,False,False
2864601_0.461,47,0.9855963883004945,2,4,4,24,9,14,2.5,24,False,False
2864601_0.461,47,0.9855963883004945,3,4,8,40,13,26,6.5,40,False,False
2864601_0.461,47,0.9855963883004945,4,8,16,104,37,66,14.5,96,True,True
2864601_0.461,47,0.9855963883004945,5,10,32,264,101,162,30.5,96,True,True
2864601_0.471,48,0.9855913167827264,1,3,2,4,1,2,0.5,4,False,False
2864601_0.471,48,0.9855913167827264,2,3,4,10,3,6,1.5,10,False,False
2864601_0.471,48,0.9855913167827264,3,5,8,30,11,18,3.5,30,False,False
2864601_0.471,48,0.9855913167827264,4,4,16,62,19,42,11.5,62,False,False
2864601_0.471,48,0.9855913167827264,5,4,32,126,35,90,27.5,96,True,True
2864601_0.440,49,0.9855819756956029,1,14,2,15,6,8,1.0,15,False,False
2864601_0.440,49,0.9855819756956029,2,3,4,21,8,12,2.0,21,False,False
2864601_0.440,49,0.9855819756956029,3,5,8,41,16,24,4.0,41,False,False
2864601_0.440,49,0.9855819756956029,4,12,16,137,56,80,12.0,96,True,True
2864601_0.440,49,0.9855819756956029,5,11,32,313,136,176,20.0,96,True,True
2864601_0.457,50,0.9855778643734661,1,3,2,4,1,2,0.5,4,False,False
2864601_0.457,50,0.9855778643734661,2,15,4,34,15,18,1.5,34,False,False
2864601_0.457,50,0.9855778643734661,3,11,8,78,35,42,3.5,78,False,False
2864601_0.457,50,0.9855778643734661,4,13,16,182,83,98,7.5,96,True,True
2864601_0.457,50,0.9855778643734661,5,7,32,294,131,162,15.5,96,True,True
2864601_0.400,51,0.9855720411319709,1,14,2,15,6,8,1.0,15,False,False
2864601_0.400,51,0.9855720411319709,2,9,4,33,14,18,2.0,33,False,False
2864601_0.400,51,0.9855720411319709,3,11,8,77,34,42,4.0,77,False,False
2864601_0.400,51,0.9855720411319709,4,10,16,157,66,90,12.0,96,True,True
2864601_0.400,51,0.9855720411319709,5,13,32,365,162,202,20.0,96,True,True
2864601_0.385,52,0.9855640560700065,1,13,2,14,6,7,0.5,14,False,False
2864601_0.385,52,0.9855640560700065,2,10,4,34,14,19,2.5,34,False,False
2864601_0.385,52,0.9855640560700065,3,8,8,66,26,39,6.5,66,False,False
2864601_0.385,52,0.9855640560700065,4,7,16,122,50,71,10.5,96,True,True
2864601_0.385,52,0.9855640560700065,5,12,32,314,130,183,26.5,96,True,True
2864601_0.350,53,0.9855631867421151,1,9,2,10,4,5,0.5,10,False,False
2864601_0.350,53,0.9855631867421151,2,2,4,14,4,9,2.5,14,False,False
2864601_0.350,53,0.9855631867421151,3,10,8,54,20,33,6.5,54,False,False
2864601_0.350,53,0.9855631867421151,4,11,16,142,60,81,10.5,96,True,True
2864601_0.350,53,0.9855631867421151,5,8,32,270,108,161,26.5,96,True,True
2864601_0.416,54,0.9855631012522035,1,6,2,7,2,4,1.0,7,False,False
2864601_0.416,54,0.9855631012522035,2,15,4,37,16,20,2.0,37,False,False
2864601_0.416,54,0.9855631012522035,3,11,8,81,36,44,4.0,81,False,False
2864601_0.416,54,0.9855631012522035,4,10,16,161,68,92,12.0,96,True,True
2864601_0.416,54,0.9855631012522035,5,13,32,369,164,204,20.0,96,True,True
2864601_0.342,55,0.985554111673061,1,9,2,10,4,5,0.5,10,False,False
2864601_0.342,55,0.985554111673061,2,13,4,36,16,19,1.5,36,False,False
2864601_0.342,55,0.985554111673061,3,15,8,96,44,51,3.5,96,False,True
2864601_0.342,55,0.985554111673061,4,5,16,136,60,75,7.5,96,True,True
2864601_0.342,55,0.985554111673061,5,13,32,344,156,187,15.5,96,True,True
2864601_0.359,56,0.9855424742614327,1,10,2,11,4,6,1.0,11,False,False
2864601_0.359,56,0.9855424742614327,2,11,4,33,14,18,2.0,33,False,False
2864601_0.359,56,0.9855424742614327,3,2,8,41,14,26,6.0,41,False,False
2864601_0.359,56,0.9855424742614327,4,10,16,121,46,74,14.0,96,True,True
2864601_0.359,56,0.9855424742614327,5,12,32,313,126,186,30.0,96,True,True
2864601_0.475,57,0.9855416143748738,1,8,2,9,3,5,1.0,9,False,False
2864601_0.475,57,0.9855416143748738,2,16,4,41,17,23,3.0,41,False,False
2864601_0.475,57,0.9855416143748738,3,11,8,85,37,47,5.0,85,False,False
2864601_0.475,57,0.9855416143748738,4,7,16,141,61,79,9.0,96,True,True
2864601_0.475,57,0.9855416143748738,5,12,32,333,141,191,25.0,96,True,True
2864601_0.462,58,0.9855383516501591,1,9,2,10,4,5,0.5,10,False,False
2864601_0.462,58,0.9855383516501591,2,4,4,18,6,11,2.5,18,False,False
2864601_0.462,58,0.9855383516501591,3,15,8,78,34,43,4.5,78,False,False
2864601_0.462,58,0.9855383516501591,4,10,16,158,66,91,12.5,96,True,True
2864601_0.462,58,0.9855383516501591,5,2,32,190,66,123,28.5,96,True,True
2864601_0.268,59,0.985519608133426,1,15,2,16,7,8,0.5,16,False,False
2864601_0.268,59,0.985519608133426,2,3,4,22,9,12,1.5,22,False,False
2864601_0.268,59,0.985519608133426,3,12,8,70,29,40,5.5,70,False,False
2864601_0.268,59,0.985519608133426,4,10,16,150,61,88,13.5,96,True,True
2864601_0.268,59,0.985519608133426,5,12,32,342,141,200,29.5,96,True,True
2864601_0.262,60,0.9854941044198289,1,11,2,12,5,6,0.5,12,False,False
2864601_0.262,60,0.9854941044198289,2,9,4,30,13,16,1.5,30,False,False
2864601_0.262,60,0.9854941044198289,3,10,8,70,29,40,5.5,70,False,False
2864601_0.262,60,0.9854941044198289,4,14,16,182,77,104,13.5,96,True,True
2864601_0.262,60,0.9854941044198289,5,12,32,374,157,216,29.5,96,True,True
2864601_0.485,61,0.9854763912423791,1,16,2,17,7,9,1.0,17,False,False
2864601_0.485,61,0.9854763912423791,2,3,4,23,9,13,2.0,23,False,False
2864601_0.485,61,0.9854763912423791,3,7,8,51,21,29,4.0,51,False,False
2864601_0.485,61,0.9854763912423791,4,13,16,155,69,85,8.0,96,True,True
2864601_0.485,61,0.9854763912423791,5,11,32,331,149,181,16.0,96,True,True
2864601_0.473,62,0.98547363626713,1,7,2,8,3,4,0.5,8,False,False
2864601_0.473,62,0.98547363626713,2,16,4,40,17,22,2.5,40,False,False
2864601_0.473,62,0.98547363626713,3,11,8,84,37,46,4.5,84,False,False
2864601_0.473,62,0.98547363626713,4,10,16,164,69,94,12.5,96,True,True
2864601_0.473,62,0.98547363626713,5,9,32,308,133,174,20.5,96,True,True
2864601_0.189,63,0.9854734310917874,1,8,2,9,3,5,1.0,9,False,False
2864601_0.189,63,0.9854734310917874,2,3,4,15,5,9,2.0,15,False,False
2864601_0.189,63,0.9854734310917874,3,7,8,43,17,25,4.0,43,False,False
2864601_0.189,63,0.9854734310917874,4,15,16,163,73,89,8.0,96,True,True
2864601_0.189,63,0.9854734310917874,5,3,32,211,89,121,16.0,96,True,True
2864601_0.395,64,0.9854687449926256,1,13,2,14,6,7,0.5,14,False,False
2864601_0.395,64,0.9854687449926256,2,16,4,46,20,25,2.5,46,False,False
2864601_0.395,64,0.9854687449926256,3,7,8,74,32,41,4.5,74,False,False
2864601_0.395,64,0.9854687449926256,4,16,16,202,88,113,12.5,96,True,True
2864601_0.395,64,0.9854687449926256,5,3,32,250,104,145,20.5,96,True,True
2864601_0.237,65,0.9854491819360869,1,15,2,16,7,8,0.5,16,False,False
2864601_0.237,65,0.9854491819360869,2,2,4,20,7,12,2.5,20,False,False
2864601_0.237,65,0.9854491819360869,3,13,8,72,31,40,4.5,72,False,False
2864601_0.237,65,0.9854491819360869,4,7,16,128,55,72,8.5,96,True,True
2864601_0.237,65,0.9854491819360869,5,11,32,304,135,168,16.5,96,True,True
2864601_0.372,66,0.9854406194879038,1,16,2,17,7,9,1.0,17,False,False
2864601_0.372,66,0.9854406194879038,2,12,4,41,17,23,3.0,41,False,False
2864601_0.372,66,0.9854406194879038,3,6,8,65,25,39,7.0,65,False,False
2864601_0.372,66,0.9854406194879038,4,13,16,169,73,95,11.0,96,True,True
2864601_0.372,66,0.9854406194879038,5,13,32,377,169,207,19.0,96,True,True
2864601_0.472,67,0.9854302575112713,1,14,2,15,6,8,1.0,15,False,False
2864601_0.472,67,0.9854302575112713,2,3,4,21,8,12,2.0,21,False,False
2864601_0.472,67,0.9854302575112713,3,15,8,81,36,44,4.0,81,False,False
2864601_0.472,67,0.9854302575112713,4,16,16,209,92,116,12.0,96,True,True
2864601_0.472,67,0.9854302575112713,5,3,32,257,108,148,20.0,96,True,True
2864601_0.436,68,0.9854017550154825,1,2,2,3,0,2,1.0,3,False,False
2864601_0.436,68,0.9854017550154825,2,13,4,29,12,16,2.0,29,False,False
2864601_0.436,68,0.9854017550154825,3,12,8,77,32,44,6.0,77,False,False
2864601_0.436,68,0.9854017550154825,4,6,16,125,48,76,14.0,96,True,True
